customer_id,first_name,last_name,age_bracket,gender,region,city,education,income_bracket,registration_date
CUST0001,Ryan,Dunn,35-44,Male,National Capital Region,Kenneth Ville,Bachelor's,₱100K-₱149K,2024-05-17
CUST0002,Steven,Freeman,65+,Male,Cordillera Administrative Region,Katherine Ville,Master's,Over ₱150K,2025-08-07
CUST0003,Sarah,Boyer,18-24,Male,Central Visayas,West Carolyn,Vocational,₱25K-₱49K,2023-09-15
CUST0004,Timothy,Woods,45-54,Female,MIMAROPA,Kevin Ville,Bachelor's,₱100K-₱149K,2024-06-23
CUST0005,Daniel,Chen,55-64,Female,Central Luzon,Jeffrey Ville,High School,Under ₱25K,2023-12-22
CUST0006,Nicole,Campbell,18-24,Male,Western Visayas,Port Kevinland,High School,Under ₱25K,2023-11-11
CUST0007,Stephanie,Wilson,35-44,Female,National Capital Region,Mariaport,Master's,₱100K-₱149K,2025-01-08
CUST0008,Jennifer,Terrell,18-24,Female,Central Visayas,Monica Ville,High School,Under ₱25K,2023-10-20
CUST0009,Benjamin,Brock,25-34,Male,National Capital Region,Caroline Ville,High School,₱25K-₱49K,2024-10-11
CUST0010,Jonathan,Valdez,25-34,Female,National Capital Region,Mark Ville,Elementary,₱25K-₱49K,2025-02-21
CUST0011,Robert,Smith,25-34,Female,CALABARZON,Lori Ville,Master's,Over ₱150K,2024-07-31
CUST0012,Taylor,Romero,55-64,Male,BARMM,Sheila Ville,Bachelor's,₱100K-₱149K,2024-08-04
CUST0013,Aaron,Hayden,25-34,Female,Zamboanga Peninsula,Michaelaside,Doctoral,₱100K-₱149K,2023-09-20
CUST0014,Debra,Oneill,45-54,Female,CALABARZON,Carrie Ville,Vocational,₱50K-₱74K,2024-03-23
CUST0015,Christine,Moss,25-34,Male,Caraga,Joel Ville,Master's,₱100K-₱149K,2023-11-29
CUST0016,Heather,Wright,55-64,Female,Cagayan Valley,Nicholas Ville,Bachelor's,₱75K-₱99K,2024-09-05
CUST0017,Kevin,Young,18-24,Female,Northern Mindanao,Eric Ville,High School,₱25K-₱49K,2023-09-24
CUST0018,Deanna,Green,45-54,Male,Caraga,Stephanie Ville,Vocational,₱25K-₱49K,2023-10-15
CUST0019,Martha,Ball,25-34,Female,Zamboanga Peninsula,Port Richard,Elementary,Under ₱25K,2024-01-18
CUST0020,Thomas,Kelley,55-64,Male,Northern Mindanao,New Tonya,Bachelor's,₱100K-₱149K,2025-06-23
CUST0021,William,Vaughn,45-54,Female,BARMM,Kim Ville,Bachelor's,₱75K-₱99K,2023-09-13
CUST0022,Crystal,Church,25-34,Male,Cordillera Administrative Region,Thomas Ville,High School,Under ₱25K,2023-09-18
CUST0023,Kevin,Gomez,55-64,Male,Ilocos Region,Carly Ville,Vocational,₱50K-₱74K,2024-04-23
CUST0024,Sharon,Ellis,25-34,Male,National Capital Region,Paulfurt,Elementary,Under ₱25K,2025-05-27
CUST0025,William,Richards,25-34,Female,National Capital Region,Mallory Ville,Bachelor's,₱50K-₱74K,2024-03-07
CUST0026,Melissa,Smith,65+,Female,Eastern Visayas,New James,High School,Under ₱25K,2024-12-12
CUST0027,Juan,Butler,35-44,Male,Davao Region,Port Anthonybury,Bachelor's,₱100K-₱149K,2023-09-17
CUST0028,Chad,Vargas,35-44,Male,Central Visayas,Christian Ville,Doctoral,Over ₱150K,2024-09-19
CUST0029,Joann,Lee,18-24,Female,Western Visayas,East Jasonland,Bachelor's,₱75K-₱99K,2025-07-15
CUST0030,Leslie,Friedman,55-64,Female,National Capital Region,Salazartown,High School,₱25K-₱49K,2025-03-10
